LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
SVK,Slovak Republic,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.3,,
ESP,Spain,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.2,,
SWE,Sweden,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.3,,
CHE,Switzerland,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.5,,
TUR,Turkey,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.4,,
GBR,United Kingdom,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.9,,
USA,United States,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.8,,
BRA,Brazil,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.2,,
CHL,Chile,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.5,,
EST,Estonia,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.8,,
ISR,Israel,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.2,,
LVA,Latvia,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.9,,
RUS,Russia,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.9,,
SVN,Slovenia,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6,,
ZAF,South Africa,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,4.7,,
OECD,OECD - Total,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.5,,
AUS,Australia,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.4,,
AUT,Austria,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.1,,
BEL,Belgium,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.9,,
CAN,Canada,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.4,,
CZE,Czech Republic,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.7,,
DNK,Denmark,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.6,,
FIN,Finland,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.8,,
FRA,France,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.4,,
DEU,Germany,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7,,
GRC,Greece,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.4,,
HUN,Hungary,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.6,,
ISL,Iceland,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.6,,
IRL,Ireland,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7,,
ITA,Italy,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.9,,
JPN,Japan,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6,,
KOR,Korea,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.1,,
LUX,Luxembourg,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.8,,
MEX,Mexico,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.5,,
NLD,Netherlands,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.5,,
NZL,New Zealand,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.4,,
NOR,Norway,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.6,,
POL,Poland,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.2,,
PRT,Portugal,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.5,,
SVK,Slovak Republic,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.1,,
ESP,Spain,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.4,,
SWE,Sweden,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.3,,
CHE,Switzerland,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.5,,
TUR,Turkey,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.5,,
GBR,United Kingdom,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.7,,
USA,United States,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.9,,
BRA,Brazil,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.6,,
CHL,Chile,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.5,,
EST,Estonia,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.7,,
ISR,Israel,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.1,,
LVA,Latvia,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6,,
RUS,Russia,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.8,,
SVN,Slovenia,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.9,,
ZAF,South Africa,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,4.7,,
OECD,OECD - Total,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.6,,
AUS,Australia,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.5,,
AUT,Austria,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.6,,
BEL,Belgium,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.3,,
CAN,Canada,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.6,,
DNK,Denmark,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.9,,
FIN,Finland,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,8.2,,
FRA,France,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.3,,
DEU,Germany,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.4,,
GRC,Greece,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.2,,
HUN,Hungary,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.5,,
ISL,Iceland,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,8,,
IRL,Ireland,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.2,,
ITA,Italy,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.9,,
NLD,Netherlands,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.7,,
NOR,Norway,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.8,,
PRT,Portugal,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.4,,
SVK,Slovak Republic,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.1,,
SWE,Sweden,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.7,,
TUR,Turkey,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6,,
GBR,United Kingdom,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.1,,
USA,United States,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.4,,
CHL,Chile,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.2,,
EST,Estonia,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.3,,
ISR,Israel,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.4,,
LVA,Latvia,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.5,,
RUS,Russia,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.2,,
OECD,OECD - Total,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7,,
FIN,Finland,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,7.2,,
FRA,France,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.9,,
GRC,Greece,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,4.4,,
HUN,Hungary,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.1,,
ISL,Iceland,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,7.4,,
ITA,Italy,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.7,,
NOR,Norway,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,7.5,,
PRT,Portugal,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,4.7,,
ESP,Spain,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,6,,
TUR,Turkey,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.2,,
GBR,United Kingdom,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,6.8,,
CHL,Chile,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.7,,
EST,Estonia,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.4,,
LVA,Latvia,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.4,,
RUS,Russia,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.7,,
OECD,OECD - Total,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.8,,
COL,Colombia,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.3,,
LTU,Lithuania,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,5.9,,
COL,Colombia,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.2,,
LTU,Lithuania,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.9,,
COL,Colombia,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.3,,
LTU,Lithuania,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6,,
LTU,Lithuania,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.5,,
LTU,Lithuania,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.6,,
